,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Non-inventory Part,003:003-015,Heavy-duty Pipe Wheel,Tax,,120
,Non-inventory Part,003:003-016,"Power Wheel 6"" - Heat Treated",Tax,,130
,Non-inventory Part,003:003-017,Idler Sprocket,Tax,,80
,Non-inventory Part,003:003-018,Pipe Wheel,Tax,,50
,Non-inventory Part,003:003-019,Heavy-duty V-track 20',Tax,,200
,Non-inventory Part,003:003-020,Caster Wheel,Tax,,250
,Non-inventory Part,003:003-021,Custom Brackets,Tax,,100
,Non-inventory Part,003:003-022,Double Wheel Plate,Tax,,10
,Non-inventory Part,003:003-023,"6"" Plastic V-Wheel",Tax,,65
,Non-inventory Part,003:003-024,Overhead Track Wheel - 400 lbs capacity,Tax,,54
,Non-inventory Part,003:013-025,Guide Roller Assembly,Tax,,150
,Non-inventory Part,003-025,Guide Roller Bracket,Tax,,80
,Non-inventory Part,003-026,"5"" Caster V-wheel",Tax,,110
,Non-inventory Part,003-027,"12"" Guide Roller",Tax,,65
,Non-inventory Part,003-028,Cast Aluminum Gate Stop,Tax,,100
,Non-inventory Part,003-029,Plastic Pipe Wheels with Brackets,Tax,,100
,Non-inventory Part,003-030,Steel Wheel Box,Tax,,50
,Non-inventory Part,003-031,Gate Catch,Tax,,55
,Non-inventory Part,4,CAPACITORS,Tax,,0
,Non-inventory Part,004:004-001,88-106 mfd,Tax,,6.74
,Non-inventory Part,004:004-002,108-130 mfd,Tax,,6.94
,Non-inventory Part,004:004-003,130-156 mfd,Tax,,7.2
,Non-inventory Part,004:004-004,145-174 mfd,Tax,,7.4
,Non-inventory Part,004:004-005,161-193 mfd,Tax,,7.68
,Non-inventory Part,004:004-006,189-227 mfd,Tax,,8.2
,Non-inventory Part,004:004-007,216-259 mfd,Tax,,8.84
,Non-inventory Part,004:004-008,233-280 mfd,Tax,,8.94
,Non-inventory Part,004:004-009,243-292 mfd,Tax,,9.32
,Non-inventory Part,004:004-010,270-324 mfd,Tax,,9.54
,Non-inventory Part,004:004-011,324-389 mfd,Tax,,10.28
,Non-inventory Part,004:004-012,340-408 mfd,Tax,,11.18
,Non-inventory Part,004:004-013,378-454 mfd,Tax,,11.78
,Non-inventory Part,004:004-014,400-480 mfd,Tax,,12.04
,Non-inventory Part,004:004-015,430-516 mfd,Tax,,12.58
,Non-inventory Part,004:004-016,460-553 mfd,Tax,,13.14
,Non-inventory Part,004:004-017,540-648 mfd,Tax,,14.52
,Non-inventory Part,004:004-018,590-708 mfd,Tax,,15.46
,Non-inventory Part,004:004-019,708-850 mfd,Tax,,17.78
,Non-inventory Part,004:004-020,43-53 mfd,Tax,,10.78
,Non-inventory Part,004:004-021,53-64 mfd,Tax,,11.98
,Non-inventory Part,004:004-022,64-77 MFD Capacitor,Tax,,30
,Non-inventory Part,004:004-023,88-106 mfd,Tax,,14.14
,Non-inventory Part,004:004-024,108-130 mfd,Tax,,14.32
,Non-inventory Part,004:004-025,124-149 mfd,Tax,,16.14
,Non-inventory Part,004:004-026,130-154 mfd,Tax,,16.86
,Non-inventory Part,004:004-027,145-174 mfd,Tax,,17.14
,Non-inventory Part,004:004-028,161-193 mfd,Tax,,18.28
,Non-inventory Part,004:004-029,216-259 mfd,Tax,,22.18
,Non-inventory Part,004:004-030,233-280 mfd,Tax,,23.38
,Non-inventory Part,004:004-031,270-324 mfd,Tax,,25.56
,Non-inventory Part,004:004-032,53-64 mfd,Tax,,15.4
,Non-inventory Part,004:004-033,64-77 mfd,Tax,,15.68
,Non-inventory Part,004:004-034,72-88 MFD Capacitor,Tax,,40
,Non-inventory Part,004:004-035,88-106 mfd,Tax,,19.28
,Non-inventory Part,004:004-036,108-130 mfd,Tax,,21.68
,Non-inventory Part,004:004-037,124-149 mfd,Tax,,23.02
,Non-inventory Part,004:004-038,130-156 mfd,Tax,,25.32
,Non-inventory Part,004:004-039,145-174 mfd,Tax,,26.16
,Non-inventory Part,004:004-040,161-193 mfd,Tax,,28.7
,Non-inventory Part,004:004-041,189-227 mfd,Tax,,36.16
,Non-inventory Part,004:004-042,7.5 mfd,Tax,,10.76
,Non-inventory Part,004:004-043,10 mfd,Tax,,12.86
,Non-inventory Part,004:004-044,17.5 mfd,Tax,,21.5
,Non-inventory Part,004:004-045,60 MFD Motor Capacitor,Tax,,80
,Non-inventory Part,5,V-BELTS,Tax,,0
,Non-inventory Part,005:005-001,4L-170 V-belt,Tax,,40
,Non-inventory Part,005:005-002,4L-180 V-belt,Tax,,40
,Non-inventory Part,005:005-003,4L-190 V-belt,Tax,,40
,Non-inventory Part,005:005-004,4L-200 V-belt,Tax,,45
,Non-inventory Part,005:005-005,4L-210 V-Belt,Tax,,35
,Non-inventory Part,005:005-006,4L220 V-belt,Tax,,45
,Non-inventory Part,005:005-007,4L-230 V-belt,Tax,,45
,Non-inventory Part,005:005-008,4L-240 V-belt,Tax,,45
,Non-inventory Part,005:005-009,4L-250 V-belt,Tax,,45
,Non-inventory Part,005:005-010,4L-260 V-belt,Tax,,50
,Non-inventory Part,005:005-011,4L-270 V-belt,Tax,,50
,Non-inventory Part,005:005-012,4L-280 V-belt,Tax,,45
,Non-inventory Part,005:005-013,4l-290 V-belt,Tax,,50
,Non-inventory Part,005:005-014,4L-300 V-Belt,Tax,,55
,Non-inventory Part,005:005-015,4L310 V-Belt,Tax,,55
,Non-inventory Part,005:005-016,4L 320 V-Belt,Tax,,55
,Non-inventory Part,005:005-017,4L 330 V-Belt,Tax,,55
,Non-inventory Part,005:005-018,4L340 V-belt,Tax,,65
,Non-inventory Part,005:005-019,4L 460 V-Belt,Tax,,55
,Non-inventory Part,005:005-020,4L360 V-Belt,Tax,,55
,Non-inventory Part,005:005-021,4L370 V-Belt,Tax,,65
,Non-inventory Part,005:005-022,4L380 V-belt,Tax,,65
,Non-inventory Part,005:005-023,4L390 V-belt,Tax,,35
,Non-inventory Part,005:005-024,4L 400 V-Belt,Tax,,65
,Non-inventory Part,005:005-025,4L 440 V-belt,Tax,,60
,Non-inventory Part,005:005-038,4L 450 V-Belt,Tax,,45
,Non-inventory Part,005:005-044,Larko 480L075 Timing Belt,Tax,,75
,Non-inventory Part,005:005-045,Larko 360L100 Timing Belt,Tax,,70
,Non-inventory Part,005-046,DK 2600-428EB 1GGET Belt,Tax,,65
,Non-inventory Part,6,SAFETY EQUIPMENT,Tax,,0
,Non-inventory Part,006:006-001,Loop Detector,Tax,,200
,Non-inventory Part,006:006-001:006-041,Omron Safety Eye,Tax,,380
,Non-inventory Part,006:006-002,Loop Detector Harness,Tax,,50
,Non-inventory Part,006:006-003,Safety Eye - 50-feet Maximum Range,Tax,,250
,Non-inventory Part,006:006-004,Reflector,Tax,,45
,Non-inventory Part,006:006-005,5' Rubber Bumper,Tax,,100
,Non-inventory Part,006:006-006,Miller Safety Edge 5' W/ Aluminum Rail,Tax,,300
,Non-inventory Part,006:006-007,Safety Edge 12',Tax,,180
,Non-inventory Part,006:006-008,Curly Cord 2w,Tax,,130
,Non-inventory Part,006:006-009,Air Switch,Tax,,60
,Non-inventory Part,006:006-010,Air Hose,Tax,,6
,Non-inventory Part,006:006-011,Caution Sign,Tax,,30
,Non-inventory Part,006:006-012,Curly Cord 4w,Tax,,140
,Non-inventory Part,006:006-013,"Safety loop saw-cut, loop wire and sealant",Tax,,0
,Non-inventory Part,006:006-014,Door Switch,Tax,,15
,Non-inventory Part,006:006-015,Door Guard,Tax,,500
,Non-inventory Part,006:006-016,Safety Post,Tax,,200
,Non-inventory Part,006:006-017,ERD Board,Tax,,160
,Non-inventory Part,006:006-018,On/Off Switch,Tax,,50
,Non-inventory Part,006:006-019,Mesh,Tax,,150
,Non-inventory Part,006:006-020,Transmitter and Receiver Hard Wire Safety Eye - 90-feet Maximum Range.,Tax,,330
,Non-inventory Part,006:006-021,Pre-made Loop Set,Tax,,300
,Non-inventory Part,006:006-022,Pre-made Shadow Loop,Tax,,150
,Non-inventory Part,006:006-023,Pre-made Exit Loop,Tax,,150
,Non-inventory Part,006:006-024,3-feet Bumper Post,Tax,,75
,Non-inventory Part,006:006-025,Infrared for stealth pmx1200,Tax,,90
,Non-inventory Part,006:006-026,Doorking loop Detector (Plug-in Type),Tax,,350
,Non-inventory Part,006:006-027,Fire Release,Tax,,18
,Non-inventory Part,006:006-028,Clearance Sign,Tax,,20
,Non-inventory Part,006:006-029,Elite Plug in Loop Detector,Tax,,180
,Non-inventory Part,006:006-030,Strope Light Sensor,Tax,,600
,Non-inventory Part,006:006-031,Convex  Mirror 18'(2A095),Tax,,105.96
,Non-inventory Part,006:006-032,Convex Mirror 12' (gar72),Tax,,75.06
,Non-inventory Part,006:006-033,"3"" Reflector Cover",Tax,,7
,Non-inventory Part,006:006-034,Emergency Release Key - Pair,Tax,,20
,Non-inventory Part,006:006-035,EMX Exit Wand,Tax,,280
,Non-inventory Part,006:006-036,Custom Gate Sign,Tax,,85
,Non-inventory Part,006:006-037,EMX Wand Detector,Tax,,250
,Non-inventory Part,006:006-038,AP100-PA Control Board - up to four sensors,Tax,,360
,Non-inventory Part,006:006-039,S200P Inground Sensor,Tax,,300
,Non-inventory Part,006:006-040,GTO Exit Wand,Tax,,410
,Non-inventory Part,006:006-041,Loop Rack,Tax,,125
,Non-inventory Part,006:006-1790-1014-S&M2,Strobeswitch and Dual Power Module,Tax,,456
,Non-inventory Part,006-001,Loop Detector,Tax,,160
,Non-inventory Part,006-042,EDI  Plug in loop detector,Tax,,125
,Non-inventory Part,7,OVERHEAD HARDWARE,Tax,,0
,Non-inventory Part,007:007-001,Power Arm Left/right,Tax,,85
,Non-inventory Part,007:007-002,Inner Thrust Bearing Assembly,Tax,,15
,Non-inventory Part,007:007-003,Main Pivot Bracket,Tax,,140
,Non-inventory Part,007:007-004,Outer Thrust Bearing Assembly,Tax,,10
,Non-inventory Part,007:007-005,Lower Pivot Bracket Assembly,Tax,,15
,Non-inventory Part,007:007-006,Kicker Wheel,Tax,,50
,Non-inventory Part,007:007-007,Jamb Track Wheel,Tax,,80
